Date,Price,Open,High,Low,Vol.,Change %,Pred,new
4-May-17,28060,28400,28482,28025,0.08K,-1.79%,738,117.5707404
5-May-17,28184,28136,28382,28135,0.06K,0.44%,-146,295.4301759
8-May-17,28119,28145,28255,28097,7.85K,-0.23%,30,132.1237143
9-May-17,27981,28125,28192,27947,10.10K,-0.49%,357,101.2980642
10-May-17,28007,28060,28146,27981,9.28K,0.09%,124,112.1533183
11-May-17,28022,27995,28100,27945,9.72K,0.05%,149,182.4270889
12-May-17,28019,28088,28195,27985,9.48K,-0.01%,167,141.2551367
15-May-17,28008,28049,28157,27996,8.76K,-0.04%,22,120.0690099
16-May-17,28109,28025,28159,28025,7.73K,0.36%,34,218.4016414
17-May-17,28614,28170,28638,28170,15.92K,1.80%,420,919.3763578
18-May-17,28710,28666,28980,28551,23.80K,0.34%,234,475.3890932
19-May-17,28634,28660,28779,28531,13.16K,-0.26%,345,222.8953069
22-May-17,28783,28590,28799,28568,9.31K,0.52%,265,425.7384836
23-May-17,28808,28804,28930,28740,12.50K,0.09%,138,194.4495477
24-May-17,28719,28770,28770,28650,8.69K,-0.31%,378,69.28900524
25-May-17,28638,28769,28770,28600,9.93K,-0.28%,413,39.22587413
26-May-17,28847,28694,28866,28674,9.52K,0.73%,214,346.1584013
29-May-17,28874,28843,28928,28807,4.56K,0.09%,121,152.2814247
30-May-17,28704,28921,28960,28680,9.88K,-0.59%,491,63.23430962
31-May-17,28905,28683,28950,28628,7.83K,0.70%,397,547.1156211
1-Jun-17,28749,28877,28877,28712,1.77K,-0.54%,404,37.21262887
2-Jun-17,28949,28685,29011,28680,0.31K,0.70%,222,598.1045676
5-Jun-17,29111,29045,29180,29045,0.71K,0.56%,-3,201.3067654
6-Jun-17,29481,29220,29499,29216,11.14K,1.27%,259,546.5669154
7-Jun-17,29376,29439,29485,29310,9.82K,-0.36%,344,112.3940635
8-Jun-17,29049,29319,29345,28951,12.95K,-1.11%,906,125.3337018
9-Jun-17,28938,29001,29009,28836,8.98K,-0.38%,526,110.6119434
12-Jun-17,28917,28905,28971,28851,7.77K,-0.07%,174,132.2745139
13-Jun-17,28862,28907,28916,28711,7.71K,-0.19%,685,161.0781582
14-Jun-17,28946,28890,29025,28802,9.37K,0.29%,329,280.1149226
15-Jun-17,28686,28890,28890,28640,11.43K,-0.90%,592,46.40153631
