date,meantempm,maxtempm,mintempm,meantempm_1,meantempm_2,meantempm_3,meandewptm_1,meandewptm_2,meandewptm_3,meanpressurem_1,meanpressurem_2,meanpressurem_3,maxhumidity_1,maxhumidity_2,maxhumidity_3,minhumidity_1,minhumidity_2,minhumidity_3,maxtempm_1,maxtempm_2,maxtempm_3,mintempm_1,mintempm_2,mintempm_3,maxdewptm_1,maxdewptm_2,maxdewptm_3,mindewptm_1,mindewptm_2,mindewptm_3,maxpressurem_1,maxpressurem_2,maxpressurem_3,minpressurem_1,minpressurem_2,minpressurem_3,precipm_1,precipm_2,precipm_3
2016-05-04,34,41,27,35.0,36.0,34.0,6.0,4.0,-1.0,1006.0,1005.46,1005.63,27.0,21.0,24.0,5.0,6.0,4.0,41.0,43.0,43.0,29.0,29.0,26.0,12.0,10.0,9.0,-2.0,-2.0,-10.0,1009.0,1008.0,1009.0,1000.0,1001.0,999.0,0.0,0.0,0.0
2016-05-05,31,38,24,34.0,35.0,36.0,7.0,6.0,4.0,1005.65,1006.0,1005.46,29.0,27.0,21.0,6.0,5.0,6.0,41.0,41.0,43.0,27.0,29.0,29.0,13.0,12.0,10.0,0.0,-2.0,-2.0,1008.0,1009.0,1008.0,1001.0,1000.0,1001.0,0.0,0.0,0.0
2016-05-06,28,34,21,31.0,34.0,35.0,11.0,7.0,6.0,1007.94,1005.65,1006.0,61.0,29.0,27.0,13.0,6.0,5.0,38.0,41.0,41.0,24.0,27.0,29.0,16.0,13.0,12.0,6.0,0.0,-2.0,1011.0,1008.0,1009.0,1003.0,1001.0,1000.0,5.0,0.0,0.0
2016-05-07,30,38,23,28.0,31.0,34.0,13.0,11.0,7.0,1008.39,1007.94,1005.65,69.0,61.0,29.0,18.0,13.0,6.0,34.0,38.0,41.0,21.0,24.0,27.0,17.0,16.0,13.0,9.0,6.0,0.0,1011.0,1011.0,1008.0,1004.0,1003.0,1001.0,0.0,5.0,0.0
2016-05-08,34,41,26,30.0,28.0,31.0,10.0,13.0,11.0,1007.62,1008.39,1007.94,50.0,69.0,61.0,8.0,18.0,13.0,38.0,34.0,38.0,23.0,21.0,24.0,14.0,17.0,16.0,6.0,9.0,6.0,1010.0,1011.0,1011.0,1002.0,1004.0,1003.0,0.0,0.0,5.0
2016-05-09,34,42,27,34.0,30.0,28.0,8.0,10.0,13.0,1006.73,1007.62,1008.39,32.0,50.0,69.0,7.0,8.0,18.0,41.0,38.0,34.0,26.0,23.0,21.0,12.0,14.0,17.0,6.0,6.0,9.0,1010.0,1010.0,1011.0,1002.0,1002.0,1004.0,0.0,0.0,0.0
2016-05-10,34,41,27,34.0,34.0,30.0,11.0,8.0,10.0,1005.75,1006.73,1007.62,45.0,32.0,50.0,7.0,7.0,8.0,42.0,41.0,38.0,27.0,26.0,23.0,16.0,12.0,14.0,7.0,6.0,6.0,1008.0,1010.0,1010.0,1000.0,1002.0,1002.0,0.3,0.0,0.0
2016-05-11,32,40,25,34.0,34.0,34.0,16.0,11.0,8.0,1007.1,1005.75,1006.73,51.0,45.0,32.0,12.0,7.0,7.0,41.0,42.0,41.0,27.0,27.0,26.0,18.0,16.0,12.0,13.0,7.0,6.0,1010.0,1008.0,1010.0,1002.0,1000.0,1002.0,0.8,0.3,0.0
2016-05-12,34,42,27,32.0,34.0,34.0,16.0,16.0,11.0,1006.78,1007.1,1005.75,66.0,51.0,45.0,16.0,12.0,7.0,40.0,41.0,42.0,25.0,27.0,27.0,22.0,18.0,16.0,10.0,13.0,7.0,1011.0,1010.0,1008.0,1001.0,1002.0,1000.0,2.0,0.8,0.3
2016-05-13,34,42,26,34.0,32.0,34.0,13.0,16.0,16.0,1003.83,1006.78,1007.1,58.0,66.0,51.0,9.0,16.0,12.0,42.0,40.0,41.0,27.0,25.0,27.0,20.0,22.0,18.0,10.0,10.0,13.0,1007.0,1011.0,1010.0,998.0,1001.0,1002.0,0.3,2.0,0.8
2016-05-14,35,42,28,34.0,34.0,32.0,11.0,13.0,16.0,1003.56,1003.83,1006.78,40.0,58.0,66.0,9.0,9.0,16.0,42.0,42.0,40.0,26.0,27.0,25.0,16.0,20.0,22.0,7.0,10.0,10.0,1006.0,1007.0,1011.0,998.0,998.0,1001.0,0.0,0.3,2.0
2016-05-15,36,44,29,35.0,34.0,34.0,13.0,11.0,13.0,1004.74,1003.56,1003.83,48.0,40.0,58.0,8.0,9.0,9.0,42.0,42.0,42.0,28.0,26.0,27.0,19.0,16.0,20.0,10.0,7.0,10.0,1007.0,1006.0,1007.0,1000.0,998.0,998.0,0.0,0.0,0.3
2016-05-16,36,43,28,36.0,35.0,34.0,12.0,13.0,11.0,1005.02,1004.74,1003.56,40.0,48.0,40.0,7.0,8.0,9.0,44.0,42.0,42.0,29.0,28.0,26.0,16.0,19.0,16.0,9.0,10.0,7.0,1008.0,1007.0,1006.0,1001.0,1000.0,998.0,0.0,0.0,0.0
2016-05-17,35,44,26,36.0,36.0,35.0,13.0,12.0,13.0,1003.68,1005.02,1004.74,51.0,40.0,48.0,6.0,7.0,8.0,43.0,44.0,42.0,28.0,29.0,28.0,19.0,16.0,19.0,7.0,9.0,10.0,1006.0,1008.0,1007.0,999.0,1001.0,1000.0,3.0,0.0,0.0
2016-05-18,36,45,27,35.0,36.0,36.0,13.0,13.0,12.0,1001.58,1003.68,1005.02,42.0,51.0,40.0,8.0,6.0,7.0,44.0,43.0,44.0,26.0,28.0,29.0,16.0,19.0,16.0,10.0,7.0,9.0,1010.0,1006.0,1008.0,995.0,999.0,1001.0,0.0,3.0,0.0
